address,groups,coin,market,direction,action_type,active_delta,price_effect,qty_delta,entry_px,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0x3e781befd071c59d820725f70ce109298f750706,smart_money,BASED,spot,bearish,sell_spot,-619378.5018178006,0.0,-869.0592140000008,712.7,-,PURR -$1.55K 数量Δ=-18.28K @ 0.084744；BASED -$619.38K 数量Δ=-869.059 @ 712.7,PURR -$1.55K 数量Δ=-18.28K @ 0.084744；BASED -$619.38K 数量Δ=-869.059 @ 712.7,现货卖出BASED -$619.38K 数量Δ=-869.059 @ 712.7,-,MEGA多 2x $18.06K isolated 强平距=+32.79% 低杠杆长期型；ETH多 25x $15.64K cross 极高杠杆短线型；PYTH多 5x $11.86K cross 中杠杆趋势型,BASED $17.19M 数量=24.11K；PURR $7.55K 数量=89.10K；HPL $1.41K 数量=216.92K
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,smart_money,BASED,spot,bearish,sell_spot,-605667.3718220996,0.0,-849.8209229999993,712.7,UPUMP $6.56K 数量Δ=60.05K @ 0.10919,BASED -$605.67K 数量Δ=-849.821 @ 712.7,UPUMP $6.56K 数量Δ=60.05K @ 0.10919；BASED -$605.67K 数量Δ=-849.821 @ 712.7,现货卖出BASED -$605.67K 数量Δ=-849.821 @ 712.7,-,-,MAX $6.58B 数量=1027.63M；BASED $17.64M 数量=24.75K；UPUMP $428.03K 数量=3.92M
