【自动优化分析层】
更新时间 UTC：2026-07-07 09:32:59 | 模式：guarded | Gemini审核：开启
优化范围：score_push + min_watch_score（min_watch_score 只自动提高，不自动放宽）；不修改手工阈值、不触发交易。
原始/长期轻量样本：12/10 | 币种：9 | 24h/72h/7d成熟样本：9/9/6 | 本轮应用：0 | 新影子实验：0 | 候选：0
轻量样本库：保留=180天 | 本轮新增=0 更新=0 总计=10
护栏：最少样本=24，验证集=8，单次步长=0.25，最小双段提升=0.1，每轮最多修改=3，Gemini最多审核Top 5，数据质量门槛=85%

BASED | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
ENA | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
HYPE | score_push | insufficient_samples | 当前=7.0 | 建议=7.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
LIT | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
MAX | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
QONE | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
SOL | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=2 | 验证提升=None | AI=-(-) 
UPUMP | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
ZEC | score_push | insufficient_samples | 当前=8.0 | 建议=8.0 | 周期= | 样本=1 | 验证提升=None | AI=-(-) 
