id,run_id,address,groups,coin,side,szi,abs_szi,mark_px,position_value,entry_px,unrealized_pnl,roe,leverage,liquidation_px,margin_mode,leverage_style,leverage_note,margin_used,liq_distance_pct,account_leverage,leverage_weight,leverage_risk_score
111983,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,SYRUP,short,-80000.0,80000.0,0.143005,11448.8,0.288151,11603.34109,1.5100559698,3.0,3.3353441763,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离2232.3%较安全；cross 共享保证金,3816.266666,2232.326965001224,5.681197079963352,1.2744,86.0
111977,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,TAO,short,-360.0,360.0,208.63,75103.2,256.064,17079.914793,0.9264123279,5.0,960.9984253813,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离360.6%较安全；cross 共享保证金,15020.64,360.6233165802138,5.681197079963352,1.08,72.0
111972,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,TRB,short,-400.0,400.0,13.441,5373.6,29.2547,6328.29136,1.6223765455,3.0,651.8808352521,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离4749.9%较安全；cross 共享保证金,1791.2,4749.942974868685,5.681197079963352,1.2744,86.0
111981,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,VIRTUAL,short,-20000.7,20000.7,0.53167,10641.772449,0.59646,1288.007097,0.5398285409,5.0,14.074407675,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离2547.2%较安全；cross 共享保证金,2128.354489,2547.2074171948766,5.681197079963352,1.08,72.0
111975,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,W,short,-115000.0,115000.0,0.00972,1117.8,0.07462,7463.524018,4.3487019033,5.0,2.3649915925,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离24231.2%较安全；cross 共享保证金,223.56,24231.18922325103,5.681197079963352,1.08,72.0
111969,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLD,short,-60000.0,60000.0,0.44011,26413.2,0.38925,-3057.647392,-1.3091736442,10.0,5.1694558167,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1074.6%较安全；cross 共享保证金,2641.32,1074.5826763081957,5.681197079963352,0.4536,42.0
111984,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLFI,short,-200000.0,200000.0,0.058028,11600.8,0.230461,34491.507524,3.7415687537,5.0,1.4122851657,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离2333.8%较安全；cross 共享保证金,2320.16,2333.799485937823,5.681197079963352,1.08,72.0
111978,11,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,kFLOKI,short,-400000.0,400000.0,0.021583,8631.6,0.066806,18090.883783,2.0309733103,3.0,0.6987195828,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离3137.4%较安全；cross 共享保证金,2877.2,3137.360806190057,5.681197079963352,1.2744,86.0
110478,11,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,BTC,short,-9.607,9.607,60191.5,578091.618,69390.3,88541.0347,1.3281832857,10.0,120493.5315205091,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离100.2%较安全；cross 共享保证金,57809.1618,100.18363310518778,6.755532915691668,0.4536,42.0
110481,11,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,DOGE,short,-1013000.0,1013000.0,0.074117,75068.365,0.093386,19531.92884,2.0646795107,10.0,0.6257275836,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离744.2%较安全；cross 共享保证金,7506.8365,744.2429990420552,6.755532915691668,0.4536,42.0
