address,groups,usdc_delta,spot_delta,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0xffffffffffffffffffffffffffffffffffffffff,money_printer,-9572.26561466977,2217026198.0429688,USDC减少 + 现货增加，疑似买入,PURR $8.81K 数量Δ=102.31K @ 0.086123；QONE $3.84M 数量Δ=13.66K @ 281.47,-,PURR $8.81K 数量Δ=102.31K @ 0.086123；QONE $3.84M 数量Δ=13.66K @ 281.47,现货买入QONE $3.84M 数量Δ=13.66K @ 281.47,-,-,NEKO $1413.22B 数量=23.48M；TRADE $406.94B 数量=99.97M；BRIDGE $20.21B 数量=5.00M
0x7a35bbc1de0b86e11aea964956807e08317f3803,smart_money,0.0,160255758.34046936,现货变化,-,-,-,-,-,-,NEKO $111.18B 数量=1.85M；MAX $11.31B 数量=1750.64M；RISK $8.69B 数量=113.37K
0xe867fbdad3291530e41530301ecb77693850c78e,money_printer,0.0,47999934.13856506,现货变化,-,-,-,-,-,-,MAX $64.58B 数量=10000.00M；KNTQ $71.90M 数量=2.00M；HYPE $41.10K 数量=450.00K
0x53e655101ea361537124ef814ad4e654b54d0637,smart_money,0.0,24531980.52084732,现货变化,-,-,-,-,-,-,MAX $33.01B 数量=5110.83M；HYPE $465.36 数量=5.09K；USDE $0.02 数量=108.283
0x7dacca323e44f168494c779bb5e7483c468ef410,money_printer,-14523.938130000606,20822418.21074295,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 10x $4.29M cross 强平距=+308.09% 高杠杆短线型,MAX $28.02B 数量=4338.32M；WOW $279.91K 数量=4.51K；HYPE $29.93K 数量=327.67K
0x856c35038594767646266bc7fd68dc26480e910d,money_printer,11214.360027998686,18384091.4202919,USDC增加，疑似资金回流,-,-,-,-,-,HYPE空 3x $3.05M cross 强平距=+173.82% 低杠杆长期型；LIT空 3x $3.03M cross 强平距=+164.65% 低杠杆长期型；XPL空 5x $943.70K cross 强平距=+546.63% 中杠杆趋势型,MAX $24.74B 数量=3830.02M；LATINA $36.56K 数量=36.56K；LICKO $546.03 数量=4.88K
0x939f95036d2e7b6d7419ec072bf9d967352204d2,money_printer,-27192.775039999746,14954394.382751465,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 5x $19.97M cross 强平距=+23.23% 中杠杆趋势型；BTC多 40x $12.56M cross 强平距=+40.77% 极高杠杆短线型；ETH多 25x $1.29M cross 极高杠杆短线型,MAX $20.12B 数量=3115.50M；HYPE $28.38K 数量=310.70K
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,money_printer,-160552.3905689977,11728040.227060318,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,LIT多 5x $8.39M cross 中杠杆趋势型；AAVE空 10x $7.80M cross 强平距=+191.68% 高杠杆短线型；WLD空 10x $3.11M cross 强平距=+486.52% 高杠杆短线型,MAX $15.04B 数量=2328.32M；NEKO $398.61M 数量=6.62K；KNTQ $116.09M 数量=3.23M
0xa906355beaf1d69a5fe73ce55899c49c6e67916c,money_printer,0.0,11829941.751939774,现货变化,-,-,-,-,-,-,MAX $15.92B 数量=2464.69M；WOW $114.48K 数量=1.84K；LATINA $48.04K 数量=48.04K
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,money_printer,-3852.3494160007685,8307389.750242233,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 5x $7.05M cross 强平距=+145.85% 中杠杆趋势型；SOL空 20x $2.52M cross 强平距=+415.52% 极高杠杆短线型；DOGE空 10x $505.36K cross 强平距=+2070.34% 高杠杆短线型,MAX $10.80B 数量=1672.51M；NEKO $210.93M 数量=3.50K；WOW $731.24K 数量=11.77K
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,money_printer,3304.22018000111,8266289.387952805,USDC增加，疑似资金回流,-,-,-,-,-,HYPE空 10x $4.04M cross 强平距=+175.22% 高杠杆短线型；ZEC多 10x $4.01M cross 高杠杆短线型；BTC空 25x $2.89M cross 强平距=+253.76% 极高杠杆短线型,MAX $10.74B 数量=1663.01M；NEKO $210.93M 数量=3.50K；LATINA $29.70K 数量=29.70K
0xa312114b5795dff9b8db50474dd57701aa78ad1e,money_printer,-51161.25282399729,8198434.888088226,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 10x $12.95M cross 强平距=+59.25% 高杠杆短线型；kPEPE空 10x $439.41K cross 强平距=+1731.19% 高杠杆短线型；ASTER空 5x $323.02K cross 强平距=+2245.62% 中杠杆趋势型,MAX $11.03B 数量=1708.07M；WOW $60.47K 数量=973.609；LATINA $33.52K 数量=33.52K
0x7fdafde5cfb5465924316eced2d3715494c517d1,money_printer,0.0,8223606.206571579,现货变化,-,-,-,-,-,BTC多 20x $16.15M cross 强平距=+79.41% 极高杠杆短线型；HYPE多 5x $11.02M cross 中杠杆趋势型；ETH空 15x $7.19M cross 强平距=+172.57% 高杠杆短线型,MAX $11.06B 数量=1713.25M；KNTQ $13.58M 数量=377.74K；LATINA $33.53K 数量=33.53K
0xfc667adba8d4837586078f4fdcdc29804337ca06,money_printer,0.0,6790419.388475418,现货变化,-,-,-,-,-,ETH多 20x $5.01M cross 极高杠杆短线型；BTC多 20x $3.67M cross 极高杠杆短线型；HYPE多 5x $1.90M cross 中杠杆趋势型,MAX $9.14B 数量=1414.67M；HYPE $46.58 数量=509.941；UETH $0.00 数量=0.999755
0x5f94a51948d2376ad34a6fadfa2544e651b74b96,money_printer,5097.519754000939,6437740.292596817,USDC增加，疑似资金回流,-,-,-,-,-,WLFI空 5x $1.22M cross 强平距=+326.38% 中杠杆趋势型；LIT多 5x $1.07M cross 中杠杆趋势型；HYPE空 10x $961.15K cross 强平距=+438.49% 高杠杆短线型,MAX $8.66B 数量=1341.20M；USOL $4.59 数量=4.9917；HYPE $0.00 数量=7.3e-07
0xba0898f80da916730912bb2c2a18b8d76bc8985c,smart_money,0.0,6407590.928355217,现货变化,-,-,-,-,-,BTC多 3x $602.36K cross 强平距=+86.60% 低杠杆长期型,MAX $8.24B 数量=1275.78M；NEKO $210.93M 数量=3.50K；HYPE $11.65K 数量=127.58K
0x807a2e2e469df84b299da5f90f15dda4380daca1,money_printer,0.0,6050552.873013496,现货变化,-,-,-,-,-,-,MAX $8.14B 数量=1260.53M；LATINA $55.57K 数量=55.57K；LICKO $719.39 数量=6.42K
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,smart_money,-18859.683280320023,5097345.992297173,USDC减少 + 现货增加，疑似买入,BASED $85.96K 数量Δ=120.369 @ 714.15；UPUMP $78.94K 数量Δ=722.92K @ 0.10919,-,BASED $85.96K 数量Δ=120.369 @ 714.15；UPUMP $78.94K 数量Δ=722.92K @ 0.10919,-,-,-,MAX $6.64B 数量=1027.63M；BASED $18.60M 数量=26.05K；UPUMP $444.40K 数量=4.07M
0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,-23166.527859998867,5000142.242659569,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 10x $6.86M cross 强平距=+82.03% 高杠杆短线型；TRUMP空 10x $396.20K cross 强平距=+1407.71% 高杠杆短线型；SUI空 10x $343.37K cross 强平距=+1623.03% 高杠杆短线型,MAX $6.73B 数量=1041.69M；LATINA $107.36K 数量=107.36K；FEUSD $23.60K 数量=23.64K
0x45d26f28196d226497130c4bac709d808fed4029,money_printer,-6924.868400000036,4945333.12213707,USDC减少 + 现货增加，疑似买入,-,-,-,-,-,HYPE空 10x $26.90M cross 强平距=+65.65% 高杠杆短线型；ETH空 20x $7.96M cross 强平距=+239.32% 极高杠杆短线型；BTC空 20x $6.20M cross 强平距=+309.31% 极高杠杆短线型,MAX $6.66B 数量=1030.69M；WOW $327.57K 数量=5.27K；LATINA $76.18K 数量=76.18K
