id,run_id,address,groups,status,error,perp_account_value,perp_total_ntl_pos,perp_withdrawable,perp_position_count,spot_total_value,spot_usdc_value,spot_token_count,perp_account_leverage
26227,11,0x8a265d24c0c4e611119ba4c8fcab93fd987d343a,money_printer,ok,,0.008351,0.0,0.008351,0,46099859.86835835,208128.60541277,5,0.0
26228,11,0x10da391e349b02b380359cb402dc908dfe660221,smart_money,ok,,718.441706,6208.5,97.591706,1,234804.61456736893,394669.78155367,7,8.641619700179266
26229,11,0x55a8f87e59611f86a31a58b361038f36fbded9ea,smart_money,ok,,89152.363863,550728.0,34079.563863,2,0.0,249337.476249,1,6.177379669329923
26230,11,0x798296cea00d6494c9e47f43e2d5f9189fd5729f,smart_money,ok,,778032.16743,1378283.59812,548318.23441,1,0.0,897194.560412,1,1.7714995032567273
26231,11,0xb48616b68d0a8c86482be79cdfdcddc023d06c3e,smart_money,ok,,0.0,0.0,0.0,0,0.0,142100.82033554,1,
26232,11,0xcd2123d3f00325fa83b2743ed85844f8d4bb9826,smart_money,ok,,324771.41002,1862112.95721,136893.448385,1,0.0,1677144.339072,1,5.733611086934431
26233,11,0x8a3cf3c4b300be69429cce5beb2ef14d7200b6b7,money_printer,ok,,662547.245434,6022245.0,60322.745434,1,403588274.4355512,1626796.13605434,11,9.08953292237317
26234,11,0x1116b5fcc070945062e8879841c29807db373d0d,smart_money,ok,,156399.6423,1547841.135,1615.5288,1,64642673.36342296,-122379.64741848,4,9.896705083448902
26235,11,0x55f47d6e757125e949330f8a61cb7fb8bbe56a89,smart_money,ok,,0.0,0.0,0.0,0,9346.498554488835,4.8e-07,15,
26236,11,0x798598191e985b99dbcfee33e9fb8fd9ea6f4267,smart_money,ok,,0.0,0.0,0.0,0,0.0,66007.31895,1,
26237,11,0xb4d6fe0f1504a55c65a986ef55b9148a6f0dae7a,smart_money,ok,,4851.276194,13001.92215,3551.083979,1,0.0,0.009785,1,2.680103467636129
26238,11,0xcd6cd380329759474d36c2fbc7b9a13177f38bd9,smart_money,ok,,28969.400147,118419.8185,864.997684,32,6647721.691786173,135949.54177299,4,4.087755283129784
26239,11,0x8a5cd8bd74ab3f205ddcb3b73b2f66deadc6827f,money_printer,ok,,50476.774863,189315.91792,15274.720839,4,64453927.7569463,128066.12499985,8,3.7505549519323695
26240,11,0x112819b32d30680790d9caac04b656dd52da21a1,smart_money,ok,,4864.385442,62489.6019,0.0,2,952.9856616091903,29956.53088798,6,12.846350817608586
26241,11,0x560a2edd994f2ba4883cdf8e0d164558d8c803ac,smart_money,ok,,4674.51498,27567.66114,0.0,2,642744.2543783049,84223.27090779,6,5.897437757275087
26242,11,0x79ec68d35878cedf61a4363b40ec30b89698bcad,smart_money,ok,,0.0,0.0,0.0,0,128039.680854584,3243824.51663797,3,
26243,11,0xb506ddd40c5a39157c46f1b5b33f01d7964f8476,smart_money,ok,,859649.147983,1862550.0,673394.147983,1,0.0,957286.086037,1,2.1666397324654043
26244,11,0xcd82f03d5df801a69af899a7f13263388e1f6274,smart_money,ok,,16007.742632,58753.08417,10132.434215,1,0.0,0.0,0,3.670291653274752
26245,11,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,money_printer,ok,,3405822.330473,18999153.818446,0.0,21,4770133480.17662,20193780.65899219,17,5.578433627748104
26246,11,0x115231b1c0ad58f97944f8e69ef0dbb35f1cd055,smart_money,ok,,56408.087888,293979.58689,26997.488305,1,0.0,0.0,0,5.211656659479497
26247,11,0x562e68a7eb3d74262413030f9f8052306a3cad97,smart_money,ok,,424696.83347,4255709.106783,0.0,8,6559936.74593048,790434.542958,2,10.020581203800328
26248,11,0x7a35bbc1de0b86e11aea964956807e08317f3803,smart_money,ok,,0.0,0.0,0.0,0,132283695432.74614,2.1e-07,131,
26249,11,0xb5101614ad71468a041a83e64d8b834aa17a1ed6,smart_money,ok,,43492.974358,433486.78275,144.296083,1,581471095.1074305,105223.65343534,10,9.966823128302915
26250,11,0xcd87ea212314217b6aa64fdffb9954330db5de4f,smart_money,ok,,0.0,0.0,0.0,0,0.18383186153457,7001.29691712,4,
26251,11,0x8b9af0a4a822d6d6ccc72540b2a44bcc9a5a66ef,money_printer,ok,,0.0,0.0,0.0,0,17810.34226043628,0.3654549,3,
26252,11,0x115849ce84370f25cadcf0d348510d73837e1aa5,smart_money,ok,,3105036.811846,1266851.26,2952138.485846,5,0.0,0.0,0,0.40799878931123984
26253,11,0x565a65432ca44a999eb7217815d58594a559ccb2,smart_money,ok,,15418.141183,79312.2318,0.0,5,656933.7762301948,125489.44435884,18,5.144085195396281
26254,11,0x7a51ce9751493a2448c3ebc76667c6e7cf27900d,smart_money,ok,,946553.206396,264240.72024,920129.134372,1,0.0,0.12359172,1,0.2791609794932671
26255,11,0xb552648f037b4c60ba9c237bb503735aed0db94e,smart_money,ok,,0.0,0.0,0.0,0,0.029307583058230002,217980.833608,3,
26256,11,0xcdbd79aafd6d0618e3fc6aecb11e1a61908a9169,smart_money,ok,,76671.640186,712879.33728,5383.706458,1,6470555.1020868905,91234.13989107,2,9.297822970143914
26257,11,0x8bae3527e5a33fa0cf184f37bc112d071463ab6d,money_printer,ok,,307737.612152,14870.01428,2780.94156,1,525630.8735882388,1603169.55915324,3,0.048320431734081605
26258,11,0x115e64063e79c9788cf554e1c2e88a069d8a9719,smart_money,ok,,0.0,0.0,0.0,0,73144532.77318098,2128.85098001,9,
26259,11,0x5661a070eb13c7c55ac3210b2447d4bea426cbf5,smart_money,ok,,680909.440836,5826.6897,674506.69001,1,0.0,0.0,0,0.00855721679060018
