id,run_id,coin,direction,score,confidence,signal_type,signal_state,watchlist,perp_active,spot_active,weighted_flow,price_position,pct_1h,pct_4h,pct_24h,final_score,threshold_score,conclusion,risk,reason,avg_leverage,avg_liq_distance,longterm_leverage_ratio,highrisk_leverage_ratio,leverage_note
28,10,BTC,bearish,-4.0,低,普通趋势,合约主导,observe,-16900314.508810006,0.0,-14185334.530430244,0.313963963963964,0.08066528066528067,0.29585305687045804,-0.17667551426675515,-5.800000000000001,10.0,只观察 / 普通趋势,历史样本/胜率不足；同方向高杠杆/爆仓边缘仓位占比84%；同方向平均杠杆21.6x，极高杠杆短线风险,合约主动变化-$16.90M；钱包质量加权资金流-$14.19M；历史样本不足；同方向平均强平距离68.9%较安全,21.594341758533417,68.87822472569805,0.15665352698943333,0.8433464730105668,同向仓位$611.79M，均杠杆=21.6x，均强平距离=68.9%，长期型占比=16%，高风险占比=84%
29,10,QONE,bearish,-4.0,低,普通趋势,现货主导,observe,0.0,-121189717.57060014,-145427661.08472016,,,,,-4.0,8.0,只观察 / 普通趋势,历史样本/胜率不足,现货主动变化-$121.19M；钱包质量加权资金流-$145.43M；历史样本不足,,,,,
30,10,MAX,bearish,-2.0,低,普通趋势,现货主导,observe,0.0,-671385.7795000001,-939940.0913,,,,,-2.0,8.0,只观察 / 普通趋势,历史样本/胜率不足,现货主动变化-$671.39K；历史样本不足,,,,,
