address,groups,usdc_delta,spot_delta,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0xffffffffffffffffffffffffffffffffffffffff,money_printer,-15839.1806532396,5825260524.776123,USDC减少 + 现货增加，疑似买入,PURR $8.23K 数量Δ=97.20K @ 0.08466；NOCEX $8.88K 数量Δ=8.88K @ 1,QONE -$121.19M 数量Δ=-430.56K @ 281.47,PURR $8.23K 数量Δ=97.20K @ 0.08466；QONE -$121.19M 数量Δ=-430.56K @ 281.47；NOCEX $8.88K 数量Δ=8.88K @ 1,现货卖出QONE -$121.19M 数量Δ=-430.56K @ 281.47,-,-,NEKO $1411.98B 数量=23.48M；TRADE $407.22B 数量=99.97M；BRIDGE $20.21B 数量=5.00M
0xe867fbdad3291530e41530301ecb77693850c78e,money_printer,0.0,-818000014.5047607,现货变化,-,-,-,-,-,-,MAX $64.11B 数量=10000.00M；KNTQ $71.90M 数量=2.00M；HYPE $41.10K 数量=450.00K
0x53e655101ea361537124ef814ad4e654b54d0637,smart_money,0.0,-418065834.709507,现货变化,-,-,-,-,-,-,MAX $32.77B 数量=5110.83M；HYPE $465.36 数量=5.09K；USDE $0.02 数量=108.283
0x7dacca323e44f168494c779bb5e7483c468ef410,money_printer,-9561.632469998673,-354874841.14860535,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $4.27M cross 强平距=+309.61% 高杠杆短线型,MAX $27.81B 数量=4338.32M；WOW $278.78K 数量=4.51K；HYPE $29.93K 数量=327.67K
0x856c35038594767646266bc7fd68dc26480e910d,money_printer,-15105.129416999407,-313295557.9541855,USDC减少，疑似资金流出/买入,-,-,-,-,-,LIT空 3x $3.07M cross 强平距=+164.31% 低杠杆长期型；HYPE空 3x $3.04M cross 强平距=+173.49% 低杠杆长期型；XPL空 5x $940.09K cross 强平距=+542.30% 中杠杆趋势型,MAX $24.56B 数量=3830.02M；LATINA $36.56K 数量=36.56K；LICKO $546.03 数量=4.88K
0x7a35bbc1de0b86e11aea964956807e08317f3803,smart_money,0.0,292191746.6607971,现货变化,-,-,-,-,-,-,NEKO $111.08B 数量=1.85M；MAX $11.22B 数量=1750.64M；RISK $8.69B 数量=113.37K
0x939f95036d2e7b6d7419ec072bf9d967352204d2,money_printer,-107314.32720800024,-254847804.2727623,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 5x $19.93M cross 强平距=+23.67% 中杠杆趋势型；BTC多 40x $12.55M cross 强平距=+41.06% 极高杠杆短线型；ETH多 25x $1.29M cross 极高杠杆短线型,MAX $19.97B 数量=3115.50M；HYPE $28.38K 数量=310.70K
0xa906355beaf1d69a5fe73ce55899c49c6e67916c,money_printer,0.0,-201612072.9053154,现货变化,-,-,-,-,-,-,MAX $15.80B 数量=2464.69M；WOW $114.02K 数量=1.84K；LATINA $48.04K 数量=48.04K
0x77375a8c9d13bf79afb2a87f1b0ac1dfd5f5bf66,money_printer,170734.99732900038,-188809081.86397362,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,LIT多 5x $8.50M cross 中杠杆趋势型；AAVE空 10x $7.81M cross 强平距=+192.65% 高杠杆短线型；WLD空 10x $2.99M cross 强平距=+506.08% 高杠杆短线型,MAX $14.93B 数量=2328.32M；NEKO $398.26M 数量=6.62K；KNTQ $116.09M 数量=3.23M
0x7fdafde5cfb5465924316eced2d3715494c517d1,money_printer,0.0,-140143955.77698517,现货变化,-,-,-,-,-,BTC多 20x $16.15M cross 强平距=+79.18% 极高杠杆短线型；HYPE多 5x $10.98M cross 中杠杆趋势型；ETH空 15x $7.16M cross 强平距=+173.01% 高杠杆短线型,MAX $10.98B 数量=1713.25M；KNTQ $13.58M 数量=377.74K；LATINA $33.53K 数量=33.53K
0xa312114b5795dff9b8db50474dd57701aa78ad1e,money_printer,-124632.16660299897,-139720355.6422634,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $12.90M cross 强平距=+59.71% 高杠杆短线型；kPEPE空 10x $437.39K cross 强平距=+1746.28% 高杠杆短线型；ASTER空 5x $321.60K cross 强平距=+2265.20% 中杠杆趋势型,MAX $10.95B 数量=1708.07M；WOW $60.23K 数量=973.609；LATINA $33.52K 数量=33.52K
0xa87a233e8a7d8951ff790a2e39738086cb5f71b7,money_printer,-62786.15036199987,-135989048.32800484,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 5x $7.02M cross 强平距=+147.07% 中杠杆趋势型；SOL空 20x $2.50M cross 强平距=+419.75% 极高杠杆短线型；DOGE空 10x $501.54K cross 强平距=+2095.41% 高杠杆短线型,MAX $10.72B 数量=1672.51M；NEKO $210.75M 数量=3.50K；WOW $728.28K 数量=11.77K
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,money_printer,-26834.083836000413,-135210388.14959526,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $8.07M cross 强平距=+85.57% 高杠杆短线型；ZEC多 10x $3.98M cross 高杠杆短线型；BTC空 25x $2.89M cross 强平距=+246.39% 极高杠杆短线型,MAX $10.66B 数量=1663.01M；NEKO $210.75M 数量=3.50K；LATINA $29.70K 数量=29.70K
0xfc667adba8d4837586078f4fdcdc29804337ca06,money_printer,0.0,-115720063.74529076,现货变化,-,-,-,-,-,ETH多 20x $4.99M cross 极高杠杆短线型；BTC多 20x $3.67M cross 极高杠杆短线型；HYPE多 5x $1.89M cross 中杠杆趋势型,MAX $9.07B 数量=1414.67M；HYPE $46.58 数量=509.941；UETH $0.00 数量=0.999755
0x5f94a51948d2376ad34a6fadfa2544e651b74b96,money_printer,-19922.47790300008,-109709824.15302658,USDC减少，疑似资金流出/买入,-,-,-,-,-,WLFI空 5x $1.23M cross 强平距=+326.49% 中杠杆趋势型；LIT多 5x $1.08M cross 中杠杆趋势型；HYPE空 10x $957.42K cross 强平距=+439.69% 高杠杆短线型,MAX $8.60B 数量=1341.20M；USOL $4.59 数量=4.9917；HYPE $0.00 数量=7.3e-07
0xba0898f80da916730912bb2c2a18b8d76bc8985c,smart_money,0.0,-103535068.55674267,现货变化,-,-,-,-,-,BTC多 3x $602.32K cross 强平距=+86.58% 低杠杆长期型,MAX $8.18B 数量=1275.78M；NEKO $210.75M 数量=3.50K；HYPE $11.65K 数量=127.58K
0x807a2e2e469df84b299da5f90f15dda4380daca1,money_printer,0.0,-103111505.21095085,现货变化,-,-,-,-,-,-,MAX $8.08B 数量=1260.53M；LATINA $55.57K 数量=55.57K；LICKO $719.39 数量=6.42K
0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,75347.75984000042,-85210569.1211605,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 10x $6.83M cross 强平距=+82.74% 高杠杆短线型；TRUMP空 10x $394.87K cross 强平距=+1424.39% 高杠杆短线型；SUI空 10x $342.05K cross 强平距=+1643.57% 高杠杆短线型,MAX $6.68B 数量=1041.69M；LATINA $107.36K 数量=107.36K；FEUSD $23.59K 数量=23.64K
0x45d26f28196d226497130c4bac709d808fed4029,money_printer,-141420.54280599952,-84311142.50069046,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $26.89M cross 强平距=+66.50% 高杠杆短线型；ETH空 20x $7.93M cross 强平距=+241.49% 极高杠杆短线型；BTC空 20x $6.20M cross 强平距=+311.05% 极高杠杆短线型,MAX $6.61B 数量=1030.69M；WOW $326.24K 数量=5.27K；LATINA $76.18K 数量=76.18K
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,smart_money,-4105.853682259971,-83829936.2648716,USDC减少，疑似资金流出/买入,UPUMP $33.84K 数量Δ=309.94K @ 0.10919；BASED $214.09K 数量Δ=300.399 @ 712.7,-,UPUMP $33.84K 数量Δ=309.94K @ 0.10919；BASED $214.09K 数量Δ=300.399 @ 712.7,-,-,-,MAX $6.59B 数量=1027.63M；BASED $18.25M 数量=25.60K；UPUMP $421.47K 数量=3.86M
0x6ba889db7f923622d3548f621ecc2054b80c1817,smart_money,0.0,-82296896.70078564,现货变化,-,-,-,-,-,XRP空 20x $74.79K cross 强平距=+196.52% 极高杠杆短线型；BNB多 10x $48.61K cross 高杠杆短线型；BTC空 20x $41.38K cross 强平距=+359.72% 极高杠杆短线型,MAX $6.45B 数量=1006.07M；LATINA $33.53K 数量=33.53K；PURR $800.96 数量=9.46K
0x484bc1608211d0604bf70bae72792a56884562f8,smart_money,8.460621999998693,-81930952.06782436,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,FET多 5x $1.83K cross 中杠杆趋势型,MAX $6.42B 数量=1001.60M；HYPE $0.18 数量=2
0xd282232463d50d54ccbccf0edc5c7562ae47c1e7,money_printer,0.0,-81800583.80243587,现货变化,-,-,-,-,-,-,MAX $6.41B 数量=1000.01M；HYPE $0.06 数量=0.640828；UENA $0.00 数量=188.387
0x3dc908374e11623d8eb9f07dfc7a2e5e803a54b0,money_printer,37264.1130959969,-81575811.76072598,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 10x $4.35M cross 强平距=+148.91% 高杠杆短线型；LINK空 10x $2.92M cross 强平距=+220.77% 高杠杆短线型；AAVE空 10x $2.82M cross 强平距=+228.20% 高杠杆短线型,MAX $6.39B 数量=997.26M；HYPE $8.92K 数量=97.66K
0x77746ff04a7014752ab12d81d531aa5e50775343,smart_money,-547.6356540000415,-73781989.73918915,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $248.44K cross 强平距=+99.74% 高杠杆短线型,MAX $5.78B 数量=901.98M；LATINA $39.58K 数量=39.58K；LICKO $224.02 数量=2.00K
