address,groups,coin,market,direction,action_type,side,active_delta,price_effect,qty_delta,entry_px,leverage,margin_mode,liq_distance_pct,leverage_style,position_value,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings,leverage_weight
0x1aa1d90df49c3e5a67888798c16e73c4b4c323fc,smart_money,SOL,perp,bearish,flip_long_to_short,short,-8992659.797305001,-54038.95802999991,-127801.09,70.3645,15.0,cross,9.60177063874538,爆仓边缘型,4495402.98048,-,-,-,-,方向反转SOL 15x -$8.99M 强平距=+9.60%,SOL空 15x $4.50M cross 强平距=+9.60% 爆仓边缘型,-,0.08
0x3e781befd071c59d820725f70ce109298f750706,smart_money,BASED,spot,bullish,buy_spot,,5633784.534663,0.0,7888.79722,714.15,,,,,,BASED $5.63M 数量Δ=7.89K @ 714.15,-,BASED $5.63M 数量Δ=7.89K @ 714.15,现货买入BASED $5.63M 数量Δ=7.89K @ 714.15,-,MEGA多 2x $17.25K isolated 强平距=+29.64% 低杠杆长期型；ETH多 25x $15.69K cross 极高杠杆短线型；PYTH多 5x $12.13K cross 中杠杆趋势型,BASED $30.62M 数量=42.87K；PURR $9.99K 数量=116.39K；HPL $1.37K 数量=210.83K,
0x399965e15d4e61ec3529cc98b7f7ebb93b733336,smart_money,BASED,spot,bearish,sell_spot,,-3009186.5509030507,0.0,-4213.661767000001,714.15,,,,,,-,UPUMP -$68.33K 数量Δ=-625.80K @ 0.10919；UXPL -$4.86K 数量Δ=-2.84K @ 1.715；BASED -$3.01M 数量Δ=-4.21K @ 714.15,UPUMP -$68.33K 数量Δ=-625.80K @ 0.10919；UXPL -$4.86K 数量Δ=-2.84K @ 1.715；BASED -$3.01M 数量Δ=-4.21K @ 714.15,现货卖出BASED -$3.01M 数量Δ=-4.21K @ 714.15,-,-,MAX $6.57B 数量=1027.63M；BASED $15.59M 数量=21.84K；UPUMP $376.06K 数量=3.44M,
0x24fb6523036ebcb3cc51deff138066dccf6bed0f,smart_money,ETH,perp,bullish,perp_change,long,2953626.75,-10056.59999999994,1887.0,1565.25,15.0,cross,26.79962161599745,高杠杆短线型,4008465.3,-,-,-,-,合约多单变化ETH 15x $2.95M 强平距=+26.80%,ETH多 15x $4.01M cross 强平距=+26.80% 高杠杆短线型；PAXG多 5x $203.66K cross 中杠杆趋势型,NEKO $209.78M 数量=3.50K；MAX $15.52M 数量=2.43M；LICKO $79.21 数量=707.226,0.42
0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,money_printer,UPUMP,spot,bullish,buy_spot,,2866151.8540017023,0.0,26249215.624156997,0.10919,,,,,,UPUMP $2.87M 数量Δ=26.25M @ 0.10919,UXPL -$4.70K 数量Δ=-2.74K @ 1.715；USOL -$2.98K 数量Δ=-3.23K @ 0.92017；UBONK -$24.17K 数量Δ=-9.66M @ 0.002502,UPUMP $2.87M 数量Δ=26.25M @ 0.10919；UXPL -$4.70K 数量Δ=-2.74K @ 1.715；USOL -$2.98K 数量Δ=-3.23K @ 0.92017；UBONK -$24.17K 数量Δ=-9.66M @ 0.002502,现货买入UPUMP $2.87M 数量Δ=26.25M @ 0.10919,-,BTC多 20x $14.66M cross 极高杠杆短线型；SOL空 20x $9.40M cross 强平距=+252.27% 极高杠杆短线型；ETH空 15x $6.81M cross 强平距=+350.05% 高杠杆短线型,UBONK $41.98M 数量=16778.67M；UPUMP $12.98M 数量=118.89M；WOW $809.94K 数量=13.12K,
0x5323b92268b4e140ac2133c677e991cd9ad1b23c,smart_money,SOL,perp,bullish,perp_change,long,2398625.8874100004,-388.5325099999993,34088.58,70.3645,5.0,cross,,中杠杆趋势型,2431090.05287,-,-,-,-,合约多单变化SOL 5x $2.40M,HYPE空 5x $2.72M cross 强平距=+279.82% 中杠杆趋势型；SOL多 5x $2.43M cross 中杠杆趋势型；BNB多 5x $275.63K cross 中杠杆趋势型,-,1.0
0xdc6ce65c700bc839382b1316770c38b5bdf861d4,smart_money,HYPE,perp,bearish,close_long,long,-1615055.0,-6591.0,-26000.0,62.1175,10.0,cross,6.691763436712682,爆仓边缘型,1621646.0,-,HYPE -$1.02K 数量Δ=-11.20K @ 0.091342,HYPE -$1.02K 数量Δ=-11.20K @ 0.091342,-,平多HYPE 10x -$1.62M 强平距=+6.69%,-,HYPE $0.00 数量=7.5e-07,0.08
0x69906b0ed626ca01a4b7c001e5711e5714ccf207,"money_printer,smart_money",HYPE,perp,bullish,perp_change,short,1467347.4792,11951.000000000015,23745.6,61.7945,10.0,cross,243.9838847444352,高杠杆短线型,825788.8832,HYPE $1.02K 数量Δ=11.20K @ 0.091342,-,HYPE $1.02K 数量Δ=11.20K @ 0.091342,-,合约空单变化HYPE 10x $1.47M 强平距=+243.98%,HYPE空 10x $825.79K cross 强平距=+243.98% 高杠杆短线型；BTC多 40x $240.39K cross 极高杠杆短线型；ETHFI空 5x $34.93K cross 强平距=+5484.01% 中杠杆趋势型,BRIDGE $538.24K 数量=133.12；+5860 $10.12K 数量=17.70K；+5920 $5.66K 数量=11.14K,0.4536
0x16588c497a83e9dfa298d048553a4ef5fd52f65b,smart_money,SUI,perp,bearish,close_long,long,-1374400.0,1220.0,-2000000.0,0.6872,10.0,cross,28.652669979627476,高杠杆短线型,1373180.0,-,-,-,-,平多SUI 10x -$1.37M 强平距=+28.65%,-,-,0.42
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,money_printer,HYPE,perp,bearish,perp_change,short,-1119388.82915,20995.000000000025,-18114.699999999997,61.7945,10.0,cross,136.82470756491273,高杠杆短线型,5142555.8331,-,-,-,-,合约空单变化HYPE 10x -$1.12M 强平距=+136.82%,HYPE空 10x $5.14M cross 强平距=+136.82% 高杠杆短线型；ZEC多 10x $3.96M cross 高杠杆短线型；BTC空 25x $2.88M cross 强平距=+253.27% 极高杠杆短线型,MAX $10.63B 数量=1663.01M；NEKO $209.78M 数量=3.50K；LATINA $29.70K 数量=29.70K,0.4536
