id,run_id,address,groups,coin,side,szi,abs_szi,mark_px,position_value,entry_px,unrealized_pnl,roe,leverage,liquidation_px,margin_mode,leverage_style,leverage_note,margin_used,liq_distance_pct,account_leverage,leverage_weight,leverage_risk_score
81171,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ARB,short,-100000.0,100000.0,0.073,7324.0,0.1028,2956.438031,2.8757899441,10.0,2.9109928114,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离3887.7%较安全；cross 共享保证金,732.4,3887.661385479452,5.684469497646315,0.4536,42.0
81178,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,BANANA,short,-100.0,100.0,2.63165,263.96,14.29598,1165.6384,2.4460822004,3.0,2556.6171302829,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离97048.8%较安全；cross 共享保证金,87.986666,97048.82793239602,5.684469497646315,1.2744,86.0
81180,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,BIGTIME,short,-30000.0,30000.0,0.007414,223.44,0.061611,1624.912461,2.6373418955,3.0,9.0366614909,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离121786.5%较安全；cross 共享保证金,74.48,121786.45118559482,5.684469497646315,1.2744,86.0
81173,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,CRV,short,-30300.0,30300.0,0.18991,5777.301,0.42052,6964.675746,5.4659303535,10.0,9.5561908298,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离4932.0%较安全；cross 共享保证金,577.7301,4931.9576798483495,5.684469497646315,0.4536,42.0
81172,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,DOGE,short,-160000.0,160000.0,0.074254,11908.96,0.160484,13768.581724,5.3621105447,10.0,1.8480265071,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离2388.8%较安全；cross 共享保证金,1190.896,2388.7905124303065,5.684469497646315,0.4536,42.0
81177,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,DOT,short,-10000.0,10000.0,0.81034,8109.0,1.55495,7440.598944,4.7850745031,10.0,29.1884281143,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离3502.0%较安全；cross 共享保证金,810.9,3501.9976940913693,5.684469497646315,0.4536,42.0
81187,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ENA,short,-93000.0,93000.0,0.076609,7144.26,0.105888,2703.37188,2.7451999759,10.0,3.1281671091,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离3983.3%较安全；cross 共享保证金,714.426,3983.2893120912695,5.684469497646315,0.4536,42.0
81170,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ETH,short,-15.0,15.0,1565.25,23577.0,3925.51,35305.749998,2.9979705431,5.0,21046.5741960784,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离1244.6%较安全；cross 共享保证金,4715.4,1244.6142275086024,5.684469497646315,1.08,72.0
81186,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,ETHFI,short,-40000.0,40000.0,0.34637,13943.2,0.51088,6492.034518,1.5884414031,5.0,7.1204901182,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离1955.7%较安全；cross 共享保证金,2788.64,1955.74677893582,5.684469497646315,1.08,72.0
81174,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,LINK,short,-2400.0,2400.0,7.26115,17478.0,8.88875,3855.02137,1.8070676924,10.0,125.5222004762,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1628.7%较安全；cross 共享保证金,1747.8,1628.6821023694592,5.684469497646315,0.4536,42.0
81189,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,MORPHO,short,-6000.0,6000.0,1.73465,10450.8,1.69591,-275.285001,-0.1352683383,5.0,46.8878674545,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离2603.0%较安全；cross 共享保证金,2090.16,2603.0160236647157,5.684469497646315,1.08,72.0
81181,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,RSR,short,-1200000.0,1200000.0,0.001168,1408.8,0.015138,16757.06484,2.7673438596,3.0,0.2140054609,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离18222.4%较安全；cross 共享保证金,469.6,18222.3853510274,5.684469497646315,1.2744,86.0
81192,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,SKY,short,-460000.0,460000.0,0.049279,22739.64,0.066528,7863.362355,0.7708422458,3.0,0.6046465066,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离1127.0%较安全；cross 共享保证金,7579.88,1126.9861535339596,5.684469497646315,1.2744,86.0
81175,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,SNX,short,-32000.0,32000.0,0.23138,7377.92,0.44599,6893.796555,1.4491171812,3.0,8.2117397821,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离3449.0%较安全；cross 共享保证金,2459.306666,3449.027479514219,5.684469497646315,1.2744,86.0
81183,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,STRK,short,-500000.0,500000.0,0.0284,14265.0,0.04207,6771.534429,1.6094700512,5.0,0.5702828095,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离1908.0%较安全；cross 共享保证金,2853.0,1908.0380616197183,5.684469497646315,1.08,72.0
81190,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,SYRUP,short,-80000.0,80000.0,0.14423,11500.8,0.288151,11551.34109,1.5032887025,3.0,3.3362319129,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离2213.1%较安全；cross 共享保证金,3833.6,2213.1331296540247,5.684469497646315,1.2744,86.0
81184,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,TAO,short,-360.0,360.0,207.765,75078.0,256.064,17105.114793,0.9277791725,5.0,960.9844575758,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离362.5%较安全；cross 共享保证金,15015.6,362.5343332976199,5.684469497646315,1.08,72.0
81179,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,TRB,short,-400.0,400.0,13.2615,5322.0,29.2547,6379.89136,1.6356051762,3.0,651.7993825714,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离4815.0%较安全；cross 共享保证金,1774.0,4814.9747959989445,5.684469497646315,1.2744,86.0
81188,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,VIRTUAL,short,-20000.7,20000.7,0.5296,10636.572267,0.59646,1293.207279,0.5420080371,5.0,14.0751562192,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离2557.7%较安全；cross 共享保证金,2127.314453,2557.695660725076,5.684469497646315,1.08,72.0
81182,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,W,short,-115000.0,115000.0,0.00968,1108.6,0.07462,7472.724018,4.3540623815,5.0,2.3650869976,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离24332.7%较安全；cross 共享保证金,221.72,24332.716917355374,5.684469497646315,1.08,72.0
81176,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLD,short,-60000.0,60000.0,0.45109,27045.6,0.38925,-3690.047392,-1.5799443729,10.0,5.180348019,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1048.4%较安全；cross 共享保证金,2704.56,1048.4067523110689,5.684469497646315,0.4536,42.0
81191,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLFI,short,-200000.0,200000.0,0.056997,11458.4,0.230461,34633.907524,3.7570160168,5.0,1.4116740236,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离2376.8%较安全；cross 共享保证金,2291.68,2376.751449374529,5.684469497646315,1.08,72.0
81185,8,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,kFLOKI,short,-400000.0,400000.0,0.021501,8630.4,0.066806,18092.083783,2.0311080283,3.0,0.6987670118,cross,低杠杆长期型,杠杆3.0x，偏长期；强平距离3149.9%较安全；cross 共享保证金,2876.8,3149.9279652109203,5.684469497646315,1.2744,86.0
