address,groups,usdc_delta,spot_delta,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0x2fcb6898d5a0623de19c3691904927685014c4d8,money_printer,9712.770608999766,-7205707.918276191,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,WLD空 10x $523.13K cross 强平距=+415.49% 高杠杆短线型；NEAR空 10x $46.74K cross 强平距=+4651.74% 高杠杆短线型；MET空 3x $8.60K cross 强平距=+22741.31% 低杠杆长期型,MAX $672.15M 数量=105.19M；HYPE $0.00 数量=4.5e-07
0x8aa077f5998d234ac8641d73d6bc4976e2a210fc,smart_money,-1345.379374000011,-7096979.498015046,USDC减少，疑似资金流出/买入,-,-,-,-,-,BTC多 20x $135.06K cross 极高杠杆短线型；JTO空 5x $98.29K cross 强平距=+171.93% 中杠杆趋势型；ETH多 20x $98.24K cross 极高杠杆短线型,MAX $661.98M 数量=103.60M；WOW $47.23K 数量=764.872；LATINA $36.08K 数量=36.08K
0x6355f7cf36b24044cd5b089a845113327d0ee58e,money_printer,0.0,-7059447.245453954,现货变化,-,-,-,-,-,-,MAX $658.51M 数量=103.06M；HYPE $0.02 数量=0.219199
0x91a9cadcd7e36cbe8ff604cb634307d7b7643f70,money_printer,-24258.89382894989,-7028109.441019297,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 4x $2.21M cross 强平距=+79.52% 中杠杆趋势型；ETH空 4x $945.72K cross 强平距=+188.95% 中杠杆趋势型,MAX $655.58M 数量=102.60M；HYPE $1.62K 数量=17.70K
0x8cc94dc843e1ea7a19805e0cca43001123512b6a,money_printer,35625.27296900004,-7011315.396641731,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,ETH空 25x $7.88M cross 强平距=+48.77% 极高杠杆短线型；BTC空 40x $4.21M cross 强平距=+90.78% 极高杠杆短线型；SOL空 20x $957.95K cross 强平距=+394.57% 极高杠杆短线型,MAX $654.00M 数量=102.35M；WOW $27.13K 数量=439.383；LATINA $20.12K 数量=20.12K
0x72655b3926db3afbe914a53b0604905af7ce11a5,money_printer,0.0,-7027712.024069309,现货变化,-,-,-,-,-,-,MAX $655.55M 数量=102.59M；UETH $0.00 数量=0.115009；HYPE $0.00 数量=6e-07
0x81dd236893b50383256aee3ccd6ded98fdd155b6,smart_money,128.55234799988102,-7025647.229525447,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,PAXG空 3x $48.09K isolated 强平距=+47.50% 低杠杆长期型；MNT空 5x $7.85K cross 强平距=+6111.83% 中杠杆趋势型；SEI空 5x $6.67K cross 强平距=+7556.15% 中杠杆趋势型,MAX $655.35M 数量=102.56M；LICKO $46.31 数量=413.476；LQNA $8.65 数量=4
0xa5ee12ffed6a53622c11ea5f678ccea19b8b243f,smart_money,0.0,-7021060.876252413,现货变化,-,-,-,-,-,-,MAX $654.93M 数量=102.50M；WOW $1.60K 数量=25.9689；MEOW $0.29 数量=21.7551
0x5647249079e257329ecb6f46ed41821d3c69e7de,money_printer,0.0,-7019466.495219827,现货变化,-,-,-,-,-,NEAR空 10x $1.11M cross 强平距=+202.62% 高杠杆短线型；LIT空 5x $738.07K cross 强平距=+293.19% 中杠杆趋势型；XPL空 10x $522.89K cross 强平距=+435.32% 高杠杆短线型,MAX $654.78M 数量=102.47M；LATINA $20.13K 数量=20.13K；LICKO $24.62 数量=219.798
0xbfc79c444c41a74516bf31237ebf586a231480b4,money_printer,225.78301700006705,-7017679.57834959,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,UNI空 10x $47.02K cross 强平距=+1408.30% 高杠杆短线型；NEAR空 10x $37.51K cross 强平距=+1756.82% 高杠杆短线型；STBL空 3x $12.98K cross 强平距=+4575.97% 低杠杆长期型,MAX $654.61M 数量=102.45M；LATINA $20.12K 数量=20.12K；STRICT $85.50 数量=659.126
0x9e8b1e51c642f4c8b87c6ba11c53d516a218afc4,money_printer,-139210.29563600197,-6860907.2712311745,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,MAX $639.99M 数量=100.16M；LATINA $1.59 数量=1.5891；HFUN $0.04 数量=0.00457203
0x32dfc80aba2b7f2c5ad6b2f9a84cd615a6c380e8,smart_money,0.0,-6990952.50725162,现货变化,-,-,-,-,-,-,MAX $652.12M 数量=102.06M；LATINA $60.07K 数量=60.07K；LICKO $168.83 数量=1.51K
0xbe19541903f64af97bcf8436f4d15bf3a56b8bd1,money_printer,17247.379313998856,-6968231.436961412,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,WLFI空 5x $725.50K cross 强平距=+562.92% 中杠杆趋势型；MEGA空 3x $490.03K cross 强平距=+784.45% 低杠杆长期型；ASTER空 3x $480.23K cross 强平距=+849.05% 低杠杆长期型,MAX $650.00M 数量=101.73M；UETH $0.00 数量=1.99912；HYPE $0.00 数量=4e-08
