id,run_id,coin,direction,score,confidence,signal_type,signal_state,watchlist,perp_active,spot_active,weighted_flow,price_position,pct_1h,pct_4h,pct_24h,final_score,threshold_score,avg_leverage,avg_liq_distance,longterm_leverage_ratio,highrisk_leverage_ratio,leverage_note,conclusion,risk,reason
44,25,UPUMP,bearish,-2.0,低,普通趋势,现货主导,observe,0.0,-659340.8444077527,632967.2106314426,,,,,-2.0,8.0,,,,,,只观察 / 普通趋势,历史样本/胜率不足,现货主动变化-$659.34K；历史样本不足
45,25,HYPE,bearish,-1.0,低,普通趋势,合约主导,observe,-1437186.921169999,1306.3697611684102,-3679502.7817864274,0.5239945927678262,-0.9608330941217845,0.6964036709148058,0.3238938339014234,-1.2,7.0,7.008983144233,111.63518564385758,0.523840300503065,0.47615969949693576,同向仓位$403.11M，均杠杆=7.0x，均强平距离=111.6%，长期型占比=52%，高风险占比=48%,只观察 / 普通趋势,历史样本/胜率不足；同方向高杠杆仓位偏多48%,钱包质量加权资金流-$3.68M；历史样本不足；同方向平均强平距离111.6%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$272.18M
