id,run_id,address,groups,status,error,perp_account_value,perp_total_ntl_pos,perp_withdrawable,perp_account_leverage,perp_position_count,spot_total_value,spot_usdc_value,spot_token_count,perp_ok,spot_ok
844528,349,0xbfc8ced189f451020a0d69cb4e5b52b0f4bc43aa,money_printer,ok,,0.0,0.0,0.0,,0,0.0,0.0,0,1,1
844529,349,0x0b891f9dbd3b164fab14a36f85542a6f43340441,smart_money,ok,,0.0,0.0,0.0,,0,0.0,102781.14057503,1,1,1
844530,349,0x4692441b5a9e26a690eea6d2f36139679add737b,smart_money,ok,,0.0,0.0,0.0,,0,0.0,171.804806,1,1,1
844531,349,0x69eb16da29deeac170613a1cacb34227fc15f956,smart_money,ok,,63642.026866,192473.362,31.92,3.0243122583958213,2,382857244.2029489,74714.59276874,12,1,1
844532,349,0x9b883651182137f33efda174f831d9918182afe0,smart_money,ok,,475092.470132,896542.249139,322275.493413,1.8870899993214039,131,0.0,0.0,0,1,1
844533,349,0xfd041f7e1851da14e250b02251d12f896dc172fe,smart_money,ok,,46801.38147,506400.0,72.222222,10.820193423662202,1,0.9477049302239999,104680.945969,2,1,1
844534,349,0xbfef36a2015646dd9681e37864cddc833d6f676f,money_printer,ok,,0.0,0.0,0.0,,0,94.8859237541364,0.18406166,3,1,1
844535,349,0x0bb6eb4200ae21b2e40a7051b481fab57b51f2c4,smart_money,ok,,0.0,0.0,0.0,,0,0.0,587058.31541776,1,1,1
844536,349,0x46aaf7c9cde1c76d910fd7720458e217aeb09c98,smart_money,ok,,0.0,0.0,0.0,,0,0.0,0.002103,1,1,1
844537,349,0x6a02aedceac5a6813d960e4dae1910d9c458e77c,smart_money,ok,,0.0,0.0,0.0,,0,0.0,1062109.070884,1,1,1
844538,349,0x9bbb821a51d9c0ef24dd8592e9caad7fc469bbf2,smart_money,ok,,0.0,0.0,0.0,,0,0.0,1e-06,1,1,1
844539,349,0xfdbaa5eee7cdf45eec3a71a672065a67191fda7a,smart_money,ok,,17433.824598,53666.884652,13.024022,3.0783196395217054,5,115384137.09495434,166132.00332294,3,1,1
844540,349,0xc1471df385b1b039aae2000678e0b8bd905b3aef,money_printer,ok,,0.0,0.0,0.0,,0,0.0,0.0,0,1,1
844541,349,0x0bfd7d7721f4c116e853c18ea7998e1cc2350a7d,smart_money,ok,,0.0,0.0,0.0,,0,0.0,134830.930796,1,1,1
844542,349,0x470a063ae0e2edb2b8029fd44b702ad7be6585c9,smart_money,ok,,17845.75,178705.0,0.0,10.013868848325231,1,374.93991640199994,-67430.42191804,2,1,1
844543,349,0x6a02cace26bae56849bda4b0d0c865bff20cefe3,smart_money,ok,,0.0,0.0,0.0,,0,0.0,19.38369821,1,1,1
