run_id,coin,long_value,short_value,long_avg_leverage,short_avg_leverage,long_avg_liq_distance,short_avg_liq_distance,long_longterm_ratio,short_longterm_ratio,long_highrisk_ratio,short_highrisk_ratio,dominant_leverage_style,style_mix
231,BTC,263137963.57537004,757365593.1567299,20.10321531784448,21.28368411351324,35.5373085254828,60.134895814254165,0.19388857762656742,0.14019541577113495,0.8061114223734328,0.8598045842288649,极高杠杆短线型,"极高杠杆短线型:$582.25M,高杠杆短线型:$168.00M,低杠杆长期型:$94.00M,爆仓边缘型:$85.86M,中杠杆趋势型:$63.20M"
231,HYPE,394332581.4298202,439069167.0935702,7.693902763778083,6.657720254118039,35.77469588951239,93.15807256790738,0.4142438310503177,0.5511492842682092,0.5857561689496819,0.4488507157317904,高杠杆短线型,"高杠杆短线型:$392.14M,中杠杆趋势型:$304.49M,低杠杆长期型:$100.86M,中高杠杆型:$34.41M,爆仓边缘型:$1.45M"
231,ETH,82095551.77862999,518705065.2484301,18.270194859098382,15.743277267163078,43.69456950403316,74.51443015030392,0.10244800322968674,0.24875296206938377,0.8975519967703132,0.751247037930616,极高杠杆短线型,"极高杠杆短线型:$263.95M,低杠杆长期型:$109.77M,爆仓边缘型:$95.09M,高杠杆短线型:$87.77M,中杠杆趋势型:$27.67M"
231,SOL,44930215.516800016,184419432.83746997,16.60501664868346,17.58134410718156,52.01503903068924,213.91733048577575,0.18916289435273373,0.11551015458736319,0.8108371056472661,0.8844898454126369,极高杠杆短线型,"极高杠杆短线型:$187.78M,低杠杆长期型:$16.30M,中杠杆趋势型:$13.51M,高杠杆短线型:$9.88M,中高杠杆型:$1.46M"
231,ZEC,25848555.8562,58914749.374200016,6.873746084173705,8.377834990956407,48.716825724480664,374.87246147826335,0.6013522134456737,0.25804933164763105,0.39864778655432637,0.7419506683523688,高杠杆短线型,"高杠杆短线型:$53.33M,中杠杆趋势型:$21.30M,低杠杆长期型:$9.45M,中高杠杆型:$598.67K,极高杠杆短线型:$87.92K"
231,LIT,23845006.4854,38489592.81370002,4.838583752902032,3.962509106415216,42.61094541591576,496.39666958560036,0.9979993913682009,0.9904218037773375,0.0020006086317992363,0.00957819622266252,中杠杆趋势型,"中杠杆趋势型:$40.25M,低杠杆长期型:$21.66M,爆仓边缘型:$311.60K,极高杠杆短线型:$104.77K"
231,AAVE,16515056.588170003,30217996.744690005,9.96034016600287,9.614603654970395,71.90640857547562,483.9298528272902,0.005042376755744894,0.05346151474961292,0.994957623244255,0.9465384852503871,高杠杆短线型,"高杠杆短线型:$44.80M,低杠杆长期型:$1.47M,中杠杆趋势型:$227.27K,中高杠杆型:$225.12K,极高杠杆短线型:$9.24K"
231,NEAR,6345384.967750001,30869166.646470003,9.349718649386668,9.850623702049068,53.35073692128134,738.4100875518509,0.09481229590918384,0.018259573565276545,0.9051877040908162,0.9817404264347235,高杠杆短线型,"高杠杆短线型:$35.35M,中高杠杆型:$638.55K,中杠杆趋势型:$631.31K,低杠杆长期型:$533.97K,极高杠杆短线型:$60.11K"
231,XRP,10730125.652099999,26386966.5947,19.405034411460914,16.02603325959938,78.89894110608759,743.6081155740552,0.03512738706151428,0.005952168694204755,0.9648726129384857,0.9940478313057952,极高杠杆短线型,"极高杠杆短线型:$26.32M,高杠杆短线型:$9.64M,爆仓边缘型:$524.98K,中杠杆趋势型:$395.47K,低杠杆长期型:$138.51K"
231,XMR,1701740.68974,18377194.988780007,5.109371153326794,4.891349322659467,,503.40965928104845,0.9927085897782135,0.9986120980908363,0.007291410221786356,0.0013879019091636263,中杠杆趋势型,"中杠杆趋势型:$19.12M,低杠杆长期型:$919.35K,极高杠杆短线型:$37.91K"
231,PUMP,5878512.270416,13309117.814210001,7.500816234208977,6.782849968907683,22.64035192946306,1061.3761997060337,0.4913315940117287,0.5204019401216124,0.5086684059882712,0.47959805987838733,高杠杆短线型,"高杠杆短线型:$9.34M,中杠杆趋势型:$5.57M,低杠杆长期型:$4.24M,极高杠杆短线型:$20.52K,中高杠杆型:$15.13K"
231,WLD,1312818.942702,16685558.54837,8.810555923804603,9.860553546153108,73.89763412606789,1220.6796604668616,0.23602969771920548,0.017375687311787496,0.7639703022807944,0.9826243126882125,高杠杆短线型,"高杠杆短线型:$17.24M,中杠杆趋势型:$338.51K,低杠杆长期型:$261.27K,中高杠杆型:$143.63K,极高杠杆短线型:$10.53K"
231,SUI,6496607.171145,11380155.415914001,9.915749150745013,9.82948954038444,8.318720766496854,1634.5748785851874,0.023233968299548134,0.02122967908313017,0.9767660317004521,0.9787703209168698,高杠杆短线型,"高杠杆短线型:$11.77M,爆仓边缘型:$5.55M,低杠杆长期型:$296.42K,中杠杆趋势型:$96.12K,中高杠杆型:$93.37K"
231,XPL,5365135.327257,11914029.350909002,8.452423640655676,8.221810938606875,53.18727914876458,1577.829245504624,0.28545646406984615,0.3538711782823778,0.714543535930154,0.6461288217176221,高杠杆短线型,"高杠杆短线型:$11.47M,中杠杆趋势型:$5.17M,低杠杆长期型:$577.09K,极高杠杆短线型:$61.06K"
231,LINK,1300547.22736,14169741.009460002,10.00002610772549,9.899512633333286,31.086809293135524,1224.3593844919676,0.02210615199138923,0.016627551635044233,0.9778938480086107,0.9833724483649557,高杠杆短线型,"高杠杆短线型:$15.01M,中杠杆趋势型:$261.99K,中高杠杆型:$159.56K,极高杠杆短线型:$38.35K,低杠杆长期型:$2.37K"
231,ZRO,9309353.669647,6000844.255368003,4.9830223480288085,5.035923207218243,56.996605330845526,1846.8752223194736,1.0,0.9960415864156528,0.0,0.003958413584347106,中杠杆趋势型,"中杠杆趋势型:$15.19M,低杠杆长期型:$95.31K,极高杠杆短线型:$23.75K"
231,BNB,6291896.8187299995,8380067.605199998,9.733637737181098,8.933294004777105,,1613.287098994898,0.04731057917127199,0.20679345913327407,0.9526894208287281,0.7932065408667259,高杠杆短线型,"高杠杆短线型:$12.42M,中杠杆趋势型:$1.74M,低杠杆长期型:$292.84K,中高杠杆型:$120.59K,极高杠杆短线型:$96.75K"
231,ENA,2701118.208736,9818695.311330996,9.891787697509994,8.324804446244269,76.3858649519856,1527.3443353507405,0.031024477652244226,0.32774216404926576,0.9689755223477559,0.6722578359507343,高杠杆短线型,"高杠杆短线型:$9.05M,中杠杆趋势型:$3.19M,低杠杆长期型:$113.61K,中高杠杆型:$110.84K,极高杠杆短线型:$52.45K"
231,ADA,5709085.284039998,6040254.53707,9.821821105159575,9.753649492560651,63.920516820259685,2480.0497209905425,0.032559649056154764,0.037932586362683735,0.9674403509438455,0.9620674136373163,高杠杆短线型,"高杠杆短线型:$11.20M,中杠杆趋势型:$224.99K,低杠杆长期型:$190.02K,中高杠杆型:$103.25K,极高杠杆短线型:$27.34K"
231,FARTCOIN,1354813.7729689998,10194757.622052,8.430943687044552,8.152236936742161,28.14741901931564,1860.7442040221479,0.22889890168255317,0.30135052571555193,0.771101098317447,0.698649474284448,高杠杆短线型,"高杠杆短线型:$7.42M,中杠杆趋势型:$2.36M,低杠杆长期型:$1.03M,中高杠杆型:$717.97K,极高杠杆短线型:$32.79K"
231,ASTER,1999294.7795999998,9439348.712570002,2.5297378650345377,4.497031524404042,99.43299620808061,1820.4382692457375,0.9879390202955343,0.9971097436792783,0.012060979704465789,0.002890256320721521,中杠杆趋势型,"中杠杆趋势型:$6.97M,低杠杆长期型:$4.41M,极高杠杆短线型:$51.40K"
231,DOGE,2281005.3325989996,8787902.696709,9.415428531420094,9.733807250857929,37.19269094931489,1835.7150642173483,0.06793259930323933,0.04436039911251977,0.9320674006967606,0.9556396008874805,高杠杆短线型,"高杠杆短线型:$10.22M,中杠杆趋势型:$291.80K,低杠杆长期型:$252.99K,爆仓边缘型:$185.53K,极高杠杆短线型:$79.30K"
231,VVV,3095290.90137,7613053.9809599975,3.0,3.021159301954627,43.55318697564811,1675.876968957002,1.0,0.997989805865258,0.0,0.0020101941347419974,低杠杆长期型,"低杠杆长期型:$10.69M,极高杠杆短线型:$11.49K,爆仓边缘型:$3.81K"
231,MON,63850.673349,10476387.252894,5.422096358399987,4.6994988823857815,12.211951650943394,1521.8360511416047,0.97185625993045,0.9989144397796235,0.02814374006955001,0.0010855602203763887,中杠杆趋势型,"中杠杆趋势型:$9.02M,低杠杆长期型:$1.50M,极高杠杆短线型:$13.17K"
231,PAXG,4186814.026099999,6288857.739700001,7.569497315222536,5.51059684332328,71.52278578692302,1686.4484280634401,0.49426972724357005,0.7347985509878046,0.5057302727564301,0.2652014490121954,中杠杆趋势型,"中杠杆趋势型:$4.14M,高杠杆短线型:$3.75M,低杠杆长期型:$2.55M,极高杠杆短线型:$34.53K,中高杠杆型:$12.52"
231,TAO,1083455.0471199998,8257717.014169998,4.999999211854703,4.972818687346052,52.98150656991159,2035.3956003942487,1.0,0.9987061146523106,0.0,0.0012938853476893973,中杠杆趋势型,"中杠杆趋势型:$9.19M,低杠杆长期型:$138.34K,极高杠杆短线型:$10.68K"
231,JTO,3532130.100769999,5058945.278869998,4.465691769012536,5.019024343098157,53.10264265817319,1246.20948140369,1.0,0.9958503205405912,0.0,0.0041496794594088095,中杠杆趋势型,"中杠杆趋势型:$7.67M,低杠杆长期型:$896.12K,极高杠杆短线型:$20.99K"
231,AVAX,2464630.799538,5806023.040567999,10.030536136029017,9.81106449288777,,2784.211615047534,0.029607043689334103,0.043227412647926206,0.9703929563106659,0.9567725873520737,高杠杆短线型,"高杠杆短线型:$7.80M,低杠杆长期型:$189.55K,中杠杆趋势型:$134.40K,极高杠杆短线型:$128.08K,中高杠杆型:$22.12K"
231,TRUMP,4714494.635379999,3020930.3424099996,9.890815014256878,8.488177204626801,71.53955039531988,2434.3528479323654,0.02685978092321942,0.1941971327885651,0.9731402190767806,0.805802867211435,高杠杆短线型,"高杠杆短线型:$5.98M,中高杠杆型:$978.94K,中杠杆趋势型:$616.68K,低杠杆长期型:$96.61K,极高杠杆短线型:$67.26K"
231,AERO,3235097.54375,4036104.965939998,3.1063836972720957,3.1377584165456693,66.58945044676571,1455.184153721946,0.9937421354545827,0.9918965637326078,0.006257864545417388,0.008103436267392215,低杠杆长期型,"低杠杆长期型:$7.22M,极高杠杆短线型:$52.95K"
231,GRASS,2528604.47359,4184827.151123001,3.2200369578711006,3.1661516829084353,71.07364437675146,3052.9623552320004,0.987056649536994,0.9902263715936214,0.012943350463005932,0.009773628406378555,低杠杆长期型,"低杠杆长期型:$6.64M,极高杠杆短线型:$73.63K"
231,TRX,3670330.325550001,2612205.5690099997,9.941416668468989,9.916469631920014,80.21884979352521,1264.5556480247249,0.014383618657562923,0.012246717517000107,0.985616381342437,0.987753282483,高杠杆短线型,"高杠杆短线型:$6.18M,中杠杆趋势型:$53.25K,低杠杆长期型:$31.53K,极高杠杆短线型:$7.55K,中高杠杆型:$6.17K"
