run_id,address,groups,coin,side,position_value,mark_px,entry_px,leverage,margin_mode,margin_used,liquidation_px,liq_distance_pct,account_leverage,leverage_style,leverage_weight,leverage_risk_score,leverage_note
977,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,VIRTUAL,short,11286.795024,0.5651,0.59646,5.0,cross,2257.359004,11.5902209622,1951.0035325075207,3.3530421832149235,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离1951.0%较安全；cross 共享保证金
977,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,W,short,962.55,0.00835,0.07462,5.0,cross,192.51,1.9259851076,22965.689911377245,3.3530421832149235,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离22965.7%较安全；cross 共享保证金
977,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLD,short,19731.6,0.33018,0.38925,10.0,cross,1973.16,4.1793093827,1165.7669703495064,3.3530421832149235,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1165.8%较安全；cross 共享保证金
977,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,WLFI,short,10978.8,0.054791,0.230461,5.0,cross,2195.76,1.1575226869,2012.6146390830609,3.3530421832149235,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离2012.6%较安全；cross 共享保证金
977,0x000000209e0a892842bc06c354e7d097392cbbbb,smart_money,kFLOKI,short,8243.2,0.020617,0.066806,3.0,cross,2747.733333,0.5719223434,2674.032804966775,3.3530421832149235,低杠杆长期型,1.2744,86.0,杠杆3.0x，偏长期；强平距离2674.0%较安全；cross 共享保证金
977,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,BTC,short,611898.651,63781.5,69390.3,10.0,cross,61189.8651,124614.0935564731,95.37654893107423,9.925979811599936,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离95.4%较安全；cross 共享保证金
977,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,DOGE,short,71228.082,0.070392,0.093386,10.0,cross,7122.8082,0.6274378731,791.3482684111831,9.925979811599936,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离791.3%较安全；cross 共享保证金
977,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,ETH,short,1873221.57,1864.85,2022.19,10.0,cross,187322.157,2436.3408707881,30.64540691144596,9.925979811599936,高杠杆短线型,0.42,32.0,杠杆10.0x，偏短线；强平距离30.6%正常；cross 共享保证金
977,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,HYPE,short,107745.0072,54.2165,25.1262,5.0,cross,21549.00144,337.3376283114,522.2047316064297,9.925979811599936,中杠杆趋势型,1.08,72.0,杠杆5.0x，趋势参考；强平距离522.2%较安全；cross 共享保证金
977,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,SOL,short,275700.0,73.8345,189.9103,10.0,cross,27570.0,227.6884052345,208.37671445530205,9.925979811599936,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离208.4%较安全；cross 共享保证金
977,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,BTC,short,417484.55112,63781.5,64670.0,40.0,cross,10437.113778,67454.843197163,5.7592612233374965,18.720409387913648,爆仓边缘型,0.08,0.0,杠杆40.0x，强降权；强平距离仅5.8%；cross 共享保证金
977,0x004593cdface692ccbc2733b775f624ed0ad703b,smart_money,BTC,short,692685.79667,63781.5,80672.0,3.0,isolated,486699.746679,107200.7594448848,68.0750052050905,1.4232302387592095,低杠杆长期型,1.2744,89.0,杠杆3.0x，偏长期；强平距离68.1%较安全；isolated 风险隔离
977,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,ALGO,long,180632.688525,0.089656,0.124694,5.0,cross,36126.537705,,,1.034567940628755,中杠杆趋势型,1.0,58.0,杠杆5.0x，趋势参考；强平距离未知；cross 共享保证金
977,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,ZEC,long,4562352.7053,484.735,541.3797,1.0,cross,4562352.7053,,,1.034567940628755,低杠杆长期型,1.18,72.0,杠杆1.0x，偏长期；强平距离未知；cross 共享保证金
977,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,ADA,short,391100.0,0.1954,0.208521,10.0,cross,39110.0,2.3990169051,1127.7466249232345,12.209265917402428,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1127.7%较安全；cross 共享保证金
977,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,SUI,short,348205.0,0.69623,1.02463,10.0,cross,34820.5,9.5102776204,1265.9678009278543,12.209265917402428,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1266.0%较安全；cross 共享保证金
977,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,TRUMP,short,349564.35899,1.4706,3.47186,10.0,cross,34956.435899,20.0117136587,1260.78564250646,12.209265917402428,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离1260.8%较安全；cross 共享保证金
977,0x00b43bdee2d3fa676ab06739bf1d52f4bad6591e,money_printer,HYPE,long,1841440.0,54.2165,37.8762,10.0,cross,184144.0,6.7601608226,87.53117441627549,10.10240435731473,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离87.5%较安全；cross 共享保证金
977,0x00f8da96829820da934fc4a4cb7d39031ce7454b,money_printer,HYPE,long,14053.50454,54.2165,52.7034,10.0,cross,1405.350454,20.6004822692,62.00329739249122,9.10090717439101,高杠杆短线型,0.4536,42.0,杠杆10.0x，偏短线；强平距离62.0%较安全；cross 共享保证金
977,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,0G,long,2013.18654,0.14022,0.138962,20.0,cross,100.659327,,,1.2947188956943945,极高杠杆短线型,0.25,15.0,杠杆20.0x，强降权；强平距离未知；cross 共享保证金
977,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,2Z,long,14318.001285,0.055476,0.055199,20.0,cross,715.900064,,,1.2947188956943945,极高杠杆短线型,0.25,15.0,杠杆20.0x，强降权；强平距离未知；cross 共享保证金
