event_id,run_id,created_at,coin,direction,score,entry_px,ret_1h,ret_4h,ret_24h,ret_72h,ret_7d,ret_15d,ret_30d,reason,direction_win_24h,hurdle_win_24h,hurdle_24h_pct,direction_win_72h,hurdle_win_72h,hurdle_72h_pct,direction_win_7d,hurdle_win_7d,hurdle_7d_pct,direction_win_15d,hurdle_win_15d,hurdle_15d_pct,direction_win_30d,hurdle_win_30d,hurdle_30d_pct
16,415,2026-07-07 20:24:14,ZEC,bearish,-5.9087499999999995,486.0,,,,,,,,本轮合约主动变化-$2.20M；本轮钱包质量加权资金流-$4.66M；主滚动窗口取72h：-$12.18M，资金分-1.6；杠杆健康：低/中杠杆32% 均7.9x；72h-$12.18M 质量=1.00 覆盖=99% 钱包=16 持续=66轮/4天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟、钱包集中度过高、高杠杆占比过高；历史样本不足；该币24h强于BTC，空头谨慎；同方向平均强平距离415.3%较安全；资金费率中性：+0.0026%；流动性可接受：24h成交额$139.55M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
15,414,2026-07-07 19:32:59,HYPE,bearish,-5.26125,69.9195,,,,,,,,本轮合约主动变化-$3.40M；本轮钱包质量加权资金流-$6.69M；主滚动窗口取72h：-$28.49M，资金分-1.6；72h-$28.49M 质量=1.00 覆盖=100% 钱包=12 持续=69轮/4天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟、钱包集中度过高；历史样本不足；该币24h弱于BTC；靠近24h低位，可能破位延续；同方向平均强平距离89.4%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$445.92M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
14,405,2026-07-07 13:47:34,SOL,bearish,-5.235625000000001,81.0265,0.15056802404151715,-1.842607048311349,,,,,,本轮合约主动变化-$4.82M；本轮钱包质量加权资金流-$3.54M；主滚动窗口取72h：-$13.14M，资金分-1.6；杠杆健康：低/中杠杆13% 均17.1x；72h-$13.14M 质量=1.00 覆盖=100% 钱包=6 持续=67轮/4天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟、钱包集中度过高、高杠杆占比过高；历史样本4，4h胜率0.0%偏低；同方向平均强平距离244.2%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$291.62M,,,1.0,,,2.0,,,4.0,,,6.0,,,8.0
13,365,2026-07-06 13:33:31,LIT,bullish,5.305625,2.3566,9.061783925995085,13.080285156581523,10.65305949248919,,,,,本轮合约主动变化$2.43M；本轮钱包质量加权资金流$2.84M；主滚动窗口取6h：$3.69M，资金分+0.8；杠杆健康：低/中杠杆99% 均4.8x；6h$3.69M 质量=1.00 覆盖=96% 钱包=0 持续=8轮/1天；历史样本不足；价格靠近24h低位，多头加分；同方向低/中杠杆仓位占比99%；同方向平均强平距离41.9%较安全；资金费率中性：-0.0010%；流动性可接受：24h成交额$123.19M,1,1,1.0,,,2.0,,,4.0,,,6.0,,,8.0
12,194,2026-07-02 06:33:52,SOL,bearish,-5.060625,78.1025,0.4878204923017832,-3.0421561409685864,-3.6221631829966947,-2.983259178643447,,,,本轮合约主动变化-$9.39M；本轮钱包质量加权资金流-$3.72M；主滚动窗口取72h：-$24.93M，资金分-1.6；杠杆健康：低/中杠杆12% 均17.2x；72h-$24.93M 质量=1.00 覆盖=86% 钱包=14 持续=72轮/4天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟、高杠杆占比过高；历史样本3，4h胜率0.0%偏低；该币24h强于BTC，空头谨慎；价格靠近24h高位，空头加分；同方向平均强平距离251.4%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$431.86M,0,0,1.0,0,0,2.0,,,4.0,,,6.0,,,8.0
11,161,2026-07-01 16:35:25,HYPE,bearish,-5.586250000000001,64.8695,0.8339820716977883,4.058918289797212,-1.242494546743843,-8.984962116248763,,,,本轮合约主动变化-$2.31M；本轮钱包质量加权资金流-$7.55M；主滚动窗口取72h：-$18.65M，资金分-1.6；72h-$18.65M 质量=1.00 覆盖=67% 钱包=21 持续=69轮/3天；其他成熟窗口同向确认1组，确认分-0.2；长期资格未通过：滚动窗口未成熟；历史样本不足；BTC 4h偏强，空头降权；该币24h弱于BTC；同方向平均强平距离98.4%较安全；资金费率中性：-0.0005%；流动性可接受：24h成交额$481.92M,0,0,1.0,0,0,2.0,,,4.0,,,6.0,,,8.0
10,157,2026-07-01 13:33:07,SOL,bearish,-5.0981250000000005,74.8995,-2.7970814224394003,-3.8625090955213324,-8.28309935313319,-8.849191249607808,,,,本轮合约主动变化-$5.27M；本轮钱包质量加权资金流-$3.62M；主滚动窗口取72h：-$16.84M，资金分-1.6；杠杆健康：低/中杠杆12% 均17.2x；72h-$16.84M 质量=1.00 覆盖=62% 钱包=16 持续=55轮/3天；长期资格未通过：钱包集中度过高、高杠杆占比过高；历史样本不足；该币24h强于BTC，空头谨慎；同方向平均强平距离285.1%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$320.22M,0,0,1.0,0,0,2.0,,,4.0,,,6.0,,,8.0
9,138,2026-07-01 05:10:02,ZEC,bullish,5.563743936206826,410.005,-1.4512018146120143,-2.0536334922744883,3.1365471152790856,12.433994707381622,,,,本轮合约主动变化$2.11M；本轮钱包质量加权资金流$5.64M；主滚动窗口取24h：$5.25M，资金分+1.2；24h$5.25M 质量=1.00 覆盖=100% 钱包=2 持续=28轮/2天；其他成熟窗口同向确认1组，确认分+0.2；历史样本不足；同方向平均强平距离50.5%较安全；资金费率中性：+0.0089%；流动性可接受：24h成交额$81.77M,1,1,1.0,1,1,2.0,,,4.0,,,6.0,,,8.0
8,52,2026-06-29 18:31:26,MAX,bearish,-5.495,6.7205,0.5847779183096612,0.793095751804183,3.1619671155420033,-0.9344542816754601,-3.3033256454132807,,,本轮现货主动变化-$760.56M；本轮钱包质量加权资金流-$912.68M；短窗口取6h：-$912.68M，资金分-0.1；6h-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；Top1占比100%；现货主导100%且无合约低杠杆确认；中窗口取72h：-$912.68M，资金分-0.2；72h-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；参与钱包少：1个；Top1占比100%；长窗口取30d：-$912.68M，资金分-0.3；30d-$912.68M 质量=0.10 钱包=1 持续=1轮/1天；持续性不足：1轮/1天；参与钱包少：1个；Top1占比100%；历史样本不足；BTC 4h偏强，空头降权,1,1,1.0,0,0,2.0,0,0,4.0,,,6.0,,,8.0
6,50,2026-06-29 17:40:53,SOL,bearish,-7.797499999999999,75.6555,0.47980649126633157,-0.1586137161210888,2.9264230624343224,-6.938028299330511,-7.860631414768263,,,本轮合约主动变化-$27.03M；本轮钱包质量加权资金流-$12.43M；短窗口取6h：-$17.35M，资金分-0.6；杠杆健康：低/中杠杆13% 均17.0x；6h-$17.35M 质量=0.75 钱包=3 持续=3轮/1天；Top3占比100%；中窗口取24h：-$17.35M，资金分-1.2；杠杆健康：低/中杠杆13% 均17.0x；24h-$17.35M 质量=1.00 钱包=8 持续=3轮/1天；短中长分组同向(2组)，连续性加分-0.3；历史样本不足；BTC 4h偏强，空头降权；该币24h强于BTC，空头谨慎；价格靠近24h高位，空头加分；同方向平均强平距离276.6%较安全；资金费率中性：+0.0013%；流动性可接受：24h成交额$535.09M,1,1,1.0,0,0,2.0,0,0,4.0,,,6.0,,,8.0
