【强信号/观察信号回测】
窗口：过去30天 | 事件样本：13
说明：普通胜率=方向收益>0；门槛胜率=达到最低收益门槛，更适合长期单。
门槛：24h≥1.0% | 72h≥2.0% | 7d≥4.0% | 15d≥6.0% | 30d≥8.0%

24h: 样本=12 | 普通胜率=41.7% | 门槛胜率=33.3% | 门槛≥1.0% | 平均方向收益=+0.42% | 中位=+0.00%
72h: 样本=12 | 普通胜率=25.0% | 门槛胜率=16.7% | 门槛≥2.0% | 平均方向收益=-2.22% | 中位=-2.98%
7d: 暂无成熟样本
15d: 暂无成熟样本
30d: 暂无成熟样本

最近样本：
2026-07-06 13:33:31 LIT 偏多 score=+5.31 | 
2026-07-02 06:33:52 SOL 偏空 score=-5.06 | 24h=-3.62%❌ | 72h=-2.98%❌
2026-07-01 16:35:25 HYPE 偏空 score=-5.59 | 24h=-1.24%❌ | 72h=-8.98%❌
2026-07-01 13:33:07 SOL 偏空 score=-5.10 | 24h=-8.28%❌ | 72h=-8.85%❌
2026-07-01 05:10:02 ZEC 偏多 score=+5.56 | 24h=+3.14%✅ | 72h=+12.43%✅
2026-06-29 18:31:26 MAX 偏空 score=-5.50 | 24h=+3.16%✅ | 72h=-0.93%❌
2026-06-29 17:40:53 SOL 偏空 score=-7.80 | 24h=+2.93%✅ | 72h=-6.94%❌
2026-06-29 17:40:53 BASED 偏空 score=-5.78 | 24h=-2.14%❌ | 72h=+0.41%↗
2026-06-29 17:20:45 SOL 偏空 score=-5.84 | 24h=+0.56%↗ | 72h=-9.12%❌
2026-06-29 16:59:51 QONE 偏空 score=-13.90 | 24h=-1.26%❌ | 72h=-3.77%❌
2026-06-29 16:35:01 QONE 偏空 score=-13.90 | 24h=-1.26%❌ | 72h=-3.77%❌
2026-06-29 16:35:01 UPUMP 偏空 score=-6.80 | 24h=+0.00%❌ | 72h=+0.00%❌
2026-06-29 15:25:10 ENA 偏空 score=-5.30 | 24h=+13.09%✅ | 72h=+5.88%✅
