【滚动建仓资金流 + 杠杆质量】
说明：短线异动看上一轮；长期建仓看滚动窗口，但已修正嵌套窗口重复加分。
新逻辑：2h/6h、24h/72h、15d/30d 分组取最高；同时检查持续性、钱包广度、单钱包集中度、现货-only、杠杆质量。
run_id=441 | 北京时间=2026-07-09 00:00:27 | UTC=2026-07-08 16:16:45

MAX 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=72h -$7.54B | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$7.54B，资金分-0.5；72h-$7.54B 质量=0.30 覆盖=61% 钱包=8 持续=9轮/3天；含断跑gap=1；现货主导100%且无合约低杠杆确认
QONE 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $107.55M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$107.55M，资金分+0.1；72h$107.55M 质量=0.05 覆盖=99% 钱包=1 持续=47轮/4天；含断跑gap=1；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认
QUANT 偏多 | rolling_score=+0.1 杠杆项=+0.0 | 最强窗口=72h $70.04M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：$70.04M，资金分+0.1；72h$70.04M 质量=0.05 覆盖=67% 钱包=1 持续=6轮/3天；参与钱包少：1/2个；Top1占比100%；现货主导100%且无合约低杠杆确认；单钱包异常大额，按观察处理
HYPE 偏空 | rolling_score=-1.3 杠杆项=+0.1 | 最强窗口=72h -$37.57M | 均杠杆=6.626487416726729 高风险占比=45% | 主滚动窗口取72h：-$37.57M，资金分-1.2；72h-$37.57M 质量=0.75 覆盖=99% 钱包=17 持续=68轮/4天；含断跑gap=1；其他成熟窗口同向确认1组，确认分-0.2
SOL 偏空 | rolling_score=-0.9 杠杆项=+0.5 | 最强窗口=72h -$19.33M | 均杠杆=16.506064439728274 高风险占比=84% | 主滚动窗口取72h：-$19.33M，资金分-1.2；杠杆健康：低/中杠杆16% 均16.5x；72h-$19.33M 质量=0.75 覆盖=99% 钱包=5 持续=62轮/4天；含断跑gap=1；其他成熟窗口同向确认1组，确认分-0.2
BASED 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=6h -$16.59M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取6h：-$16.59M，资金分-0.1；6h-$16.59M 质量=0.20 覆盖=67% 钱包=0 持续=2轮/1天；持续性不足：2/3轮 1/1天；含断跑gap=1；现货主导100%且无合约低杠杆确认
KNTQ 偏空 | rolling_score=-0.1 杠杆项=+0.0 | 最强窗口=24h -$12.79M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取24h：-$12.79M，资金分-0.1；24h-$12.79M 质量=0.05 覆盖=29% 钱包=1 持续=2轮/1天；窗口未成熟：覆盖29%/50% span=6.8h；持续性不足：2/4轮 1/1天；含断跑gap=1；参与钱包少：1/2个
UBONK 偏空 | rolling_score=-0.5 杠杆项=+0.0 | 最强窗口=72h -$7.95M | 均杠杆=0.0 高风险占比=0% | 主滚动窗口取72h：-$7.95M，资金分-0.5；72h-$7.95M 质量=0.30 覆盖=96% 钱包=2 持续=43轮/4天；含断跑gap=1；现货主导100%且无合约低杠杆确认
ZEC 偏多 | rolling_score=+0.1 杠杆项=-0.1 | 最强窗口=6h $2.63M | 均杠杆=7.204989138480898 高风险占比=48% | 主滚动窗口取6h：$2.63M，资金分+0.3；6h$2.63M 质量=0.34 覆盖=100% 钱包=1 持续=5轮/1天；含断跑gap=1；Top1占比100%
